timestamp,temp,depth
2015-05-17 19:43:00,4.308,1317.371815
2015-05-17 19:44:01,4.3089,1317.433055
2015-05-17 19:46:00,4.3099,1317.405837
2015-05-17 19:47:00,4.309,1317.371815
2015-05-17 19:49:00,4.3098,1317.42625
2015-05-17 19:50:00,4.3084,1317.385423
2015-05-17 19:51:00,4.3079,1317.378619
2015-05-17 19:52:00,4.3086,1317.433055
2015-05-17 19:53:01,4.3084,1317.392228
2015-05-17 19:54:01,4.3082,1317.378619
2015-05-17 19:54:59,4.3075,1317.324183
2015-05-17 19:57:00,4.308,1317.324183
2015-05-17 19:58:01,4.3059,1317.337792
2015-05-17 20:00:04,4.3066,1317.36501
2015-05-17 20:01:00,4.3068,1317.36501
2015-05-17 20:02:01,4.3069,1317.371815
2015-05-17 20:03:01,4.3068,1317.42625
2015-05-17 20:04:02,4.307,1317.351401
2015-05-17 20:06:00,4.3071,1317.419446
2015-05-17 20:07:01,4.3062,1317.433055
2015-05-17 20:09:00,4.3074,1317.385423
2015-05-17 20:10:00,4.3064,1317.419446
2015-05-17 20:11:01,4.3081,1317.385423
2015-05-17 20:12:01,4.3063,1317.358206
2015-05-17 20:13:00,4.3088,1317.36501
2015-05-17 20:14:00,4.3065,1317.419446
2015-05-17 20:15:00,4.3154,1317.140462
2015-05-17 20:16:51,4.308,1317.439859
2015-05-17 20:21:01,4.3084,1317.460273
2015-05-17 20:22:01,4.3075,1317.392228
2015-05-17 20:23:01,4.3075,1316.895501
2015-05-17 20:24:01,4.3068,1316.30351
2015-05-17 20:26:00,4.3064,1317.330988
2015-05-17 20:27:01,4.3096,1317.378619
2015-05-17 20:28:01,4.3192,1317.405837
2015-05-17 20:29:01,4.3241,1317.392228
2015-05-17 20:30:01,4.3279,1317.181289
2015-05-17 20:31:01,4.321,1317.24253
2015-05-17 20:32:01,4.3272,1317.439859
2015-05-17 20:34:00,4.3058,1313.193829
2015-05-17 20:35:01,4.3217,1316.834261
2015-05-17 20:37:00,4.3355,1317.222116
2015-05-17 20:38:00,4.3272,1316.596104
2015-05-17 20:39:01,4.3083,1316.752607
2015-05-17 20:40:01,4.3237,1316.834261
2015-05-17 20:41:01,4.3221,1317.256139
2015-05-17 20:42:01,4.3069,1315.636668
2015-05-17 20:43:01,4.3338,1317.276552
2015-05-17 20:44:01,4.3088,1316.078962
2015-05-17 20:46:00,4.313,1312.826381
2015-05-17 20:47:01,4.3194,1312.819576
2015-05-17 20:48:00,4.3163,1312.874013
2015-05-17 20:49:00,4.3203,1312.799162
2015-05-17 20:50:01,4.348,1312.819576
2015-05-17 20:51:01,4.3491,1312.833185
2015-05-17 20:52:01,4.3376,1312.771944
2015-05-17 20:53:01,4.3298,1312.765139
2015-05-17 20:54:00,4.3193,1312.75153
2015-05-17 20:55:01,4.3356,1312.812771
2015-05-17 20:56:01,4.3416,1312.765139
2015-05-17 20:58:00,4.3446,1312.799162
2015-05-17 20:59:01,4.3273,1312.75153
2015-05-17 21:00:03,4.3333,1312.785553
2015-05-17 21:01:00,4.3228,1312.731116
2015-05-17 21:02:00,4.3314,1312.771944
2015-05-17 21:03:01,4.3224,1312.765139
2015-05-17 21:04:01,4.3289,1312.799162
2015-05-17 21:05:00,4.3354,1312.75153
2015-05-17 21:07:00,4.3331,1312.737921
2015-05-17 21:08:00,4.3333,1312.83999
2015-05-17 21:09:01,4.3388,1312.819576
2015-05-17 21:11:01,4.3283,1312.785553
2015-05-17 21:13:00,4.3382,1314.534332
2015-05-17 21:14:00,4.3341,1312.356862
2015-05-17 21:15:01,4.3165,1312.887622
2015-05-17 21:16:00,4.3146,1312.812771
2015-05-17 21:17:01,4.3233,1312.833185
2015-05-17 21:18:01,4.3098,1312.867208
2015-05-17 21:19:01,4.3106,1312.826381
2015-05-17 21:20:01,4.3196,1312.83999
2015-05-17 21:21:01,4.3157,1312.799162
2015-05-17 21:22:01,4.3185,1312.833185
2015-05-17 21:23:01,4.3284,1312.737921
2015-05-17 21:24:01,4.3927,1312.690288
2015-05-17 21:26:01,4.329,1314.377827
2015-05-17 21:27:00,4.3228,1313.710979
2015-05-17 21:29:00,4.3393,1313.969553
2015-05-17 21:31:00,4.3231,1313.751806
2015-05-17 21:32:00,4.3164,1313.833461
2015-05-17 21:33:01,4.3247,1313.833461
2015-05-17 21:34:01,4.3467,1313.799438
2015-05-17 21:35:01,4.329,1313.84707
2015-05-17 21:36:01,4.3242,1313.887898
2015-05-17 21:38:00,4.327,1313.928725
2015-05-17 21:40:00,4.3298,1313.921921
2015-05-17 21:41:00,4.3226,1313.989967
2015-05-17 21:42:00,4.3104,1313.731392
2015-05-17 21:43:00,4.3225,1313.751806
2015-05-17 21:44:00,4.3184,1313.813047
2015-05-17 21:45:01,4.3207,1313.731392
2015-05-17 21:46:01,4.3189,1313.758611
2015-05-17 21:48:00,4.3212,1313.887898
2015-05-17 21:49:00,4.3247,1313.969553
2015-05-17 21:51:00,4.313,1313.962748
2015-05-17 21:52:01,4.3111,1313.84707
2015-05-17 21:53:00,4.3127,1313.826657
2015-05-17 21:54:01,4.3086,1313.894702
2015-05-17 21:55:01,4.315,1313.826657
2015-05-17 21:57:00,4.3193,1313.758611
2015-05-17 21:58:00,4.3132,1313.840266
2015-05-17 22:00:03,4.3172,1313.833461
2015-05-17 22:01:01,4.3172,1313.779025
2015-05-17 22:02:01,4.3255,1313.833461
2015-05-17 22:03:01,4.313,1313.751806
2015-05-17 22:04:00,4.3202,1313.792634
2015-05-17 22:06:00,4.3113,1313.93553
2015-05-17 22:07:00,4.3148,1313.874289
2015-05-17 22:08:01,4.3169,1313.881093
2015-05-17 22:10:00,4.3128,1314.037599
2015-05-17 22:12:00,4.324,1313.738197
2015-05-17 22:13:01,4.3132,1313.833461
2015-05-17 22:14:00,4.3228,1313.908312
2015-05-17 22:15:01,4.3179,1313.704174
2015-05-17 22:16:01,4.3227,1313.792634
2015-05-17 22:17:00,4.3176,1313.765415
2015-05-17 22:19:00,4.3291,1313.738197
2015-05-17 22:20:01,4.3179,1313.792634
2015-05-17 22:21:01,4.3187,1313.826657
2015-05-17 22:22:01,4.3144,1313.670151
2015-05-17 22:23:00,4.3089,1313.738197
2015-05-17 22:24:00,4.3178,1313.799438
2015-05-17 22:25:01,4.3129,1313.704174
2015-05-17 22:26:01,4.3198,1313.738197
2015-05-17 22:27:00,4.319,1313.799438
2015-05-17 22:28:00,4.3241,1313.833461
2015-05-17 22:29:00,4.3184,1313.908312
2015-05-17 22:30:01,4.3182,1313.779025
2015-05-17 22:31:00,4.3376,1313.792634
2015-05-17 22:32:01,4.3138,1313.731392
2015-05-17 22:33:00,4.3096,1313.738197
2015-05-17 22:34:01,4.3155,1313.765415
2015-05-17 22:36:00,4.3238,1313.738197
2015-05-17 22:37:00,4.3135,1313.710979
2015-05-17 22:38:00,4.3205,1313.813047
2015-05-17 22:40:00,4.3231,1313.799438
2015-05-17 22:41:00,4.3137,1313.738197
2015-05-17 22:43:00,4.3179,1313.799438
2015-05-17 22:44:01,4.3156,1313.792634
2015-05-17 22:45:01,4.3138,1313.955944
2015-05-17 22:46:01,4.323,1313.901507
2015-05-17 22:47:01,4.3152,1313.724588
2015-05-17 22:48:00,4.3188,1313.731392
